ticker,tail,horizon,n,spread,ci_lo,ci_hi,sig
EWY,5.0,21,124,2.0,-1.16,5.49,ns
EWY,5.0,63,115,4.1,-3.23,12.33,ns
MU,5.0,21,125,-0.19,-4.83,4.66,ns
MU,5.0,63,121,3.54,-11.29,22.33,ns
WDC,5.0,21,125,2.95,-2.39,9.41,ns
WDC,5.0,63,121,6.66,-6.52,24.43,ns
STX,5.0,21,126,2.62,-2.66,8.59,ns
STX,5.0,63,122,7.18,-8.29,26.93,ns
SMH,5.0,21,126,1.06,-1.11,3.42,ns
SMH,5.0,63,123,4.02,-2.81,10.71,ns
SOXX,5.0,21,126,2.26,-0.68,5.61,ns
SOXX,5.0,63,121,4.14,-3.3,11.68,ns
XSD,5.0,21,126,2.19,-0.98,5.81,ns
XSD,5.0,63,122,3.94,-3.21,10.83,ns
EWY,2.5,21,62,4.79,1.97,7.89,SIG
EWY,2.5,63,55,8.3,1.45,14.21,SIG
MU,2.5,21,62,-0.34,-5.75,5.24,ns
MU,2.5,63,59,5.98,-11.03,26.29,ns
WDC,2.5,21,64,3.61,-2.07,10.73,ns
WDC,2.5,63,61,10.7,-3.84,31.67,ns
STX,2.5,21,63,4.07,-1.04,10.87,ns
STX,2.5,63,61,17.9,-4.42,46.77,ns
SMH,2.5,21,64,2.22,-1.23,5.06,ns
SMH,2.5,63,63,4.6,-3.67,12.12,ns
SOXX,2.5,21,64,2.09,-2.15,5.57,ns
SOXX,2.5,63,63,6.36,-4.68,14.8,ns
XSD,2.5,21,64,2.91,-0.79,5.96,ns
XSD,2.5,63,64,8.57,-1.69,16.54,ns
