event_class,event,party,flip,pre60,pre20,post20,post60,post120,window_maxdd,rv_pre,rv_change_20d,era
presidential,1928 Hoover,R,False,14.44,5.21,2.97,14.23,16.04,-8.85,12.28,7.18,1928-1948
presidential,1932 Roosevelt,D,True,-1.15,7.5,-0.43,-6.57,22.66,-40.6,68.32,-19.82,1928-1948
presidential,1936 Roosevelt,D,False,8.06,5.3,-2.44,3.22,-5.91,-14.35,15.48,1.71,1928-1948
presidential,1940 Roosevelt,D,False,3.87,2.34,-2.44,-7.9,-14.86,-18.35,12.06,14.47,1928-1948
presidential,1944 Roosevelt,D,False,0.85,0.39,0.39,5.71,13.9,-6.93,8.74,-0.94,1928-1948
presidential,1948 Truman,D,False,-1.19,0.5,-5.15,-4.69,-7.63,-15.71,9.27,18.49,1928-1948
presidential,1952 Eisenhower,R,True,-3.5,0.94,3.78,7.31,0.24,-9.26,11.24,-4.39,1952-1990
presidential,1956 Eisenhower,R,False,-3.07,1.95,-0.64,-7.08,-1.54,-14.61,13.3,1.19,1952-1990
presidential,1960 Kennedy,D,True,-2.25,2.06,1.44,10.96,17.87,-10.11,12.64,-2.7,1952-1990
presidential,1964 Johnson,D,False,4.03,0.41,-1.13,2.83,4.43,-3.55,4.82,1.63,1952-1990
presidential,1968 Nixon,R,True,4.01,0.4,3.91,0.37,1.71,-9.59,6.04,-0.95,1952-1990
presidential,1972 Nixon,R,False,0.71,3.01,4.53,0.27,-2.1,-11.04,10.05,-3.91,1952-1990
presidential,1976 Carter,D,True,-1.53,-1.28,0.2,0.01,-4.83,-9.94,12.12,-0.13,1952-1990
presidential,1980 Reagan,R,True,5.12,0.25,3.85,-3.42,1.3,-9.92,15.93,2.42,1952-1990
presidential,1984 Reagan,R,False,2.97,5.27,-5.0,4.71,5.38,-5.59,12.06,-1.26,1952-1990
presidential,1988 Bush,R,False,6.17,-1.01,1.08,7.63,11.32,-6.99,12.94,0.44,1952-1990
presidential,1992 Clinton,D,True,0.12,3.08,2.35,4.39,4.22,-5.32,9.96,-2.81,1992-2024
presidential,1996 Clinton,D,False,7.01,1.91,4.24,9.61,10.61,-9.63,7.16,2.1,1992-2024
presidential,2000 Bush,R,True,-4.08,3.18,-5.78,-5.57,-12.2,-27.45,25.45,-0.56,1992-2024
presidential,2004 Bush,R,False,5.95,-0.35,5.24,3.55,1.86,-7.17,11.22,-0.33,1992-2024
presidential,2008 Obama,D,True,-26.07,0.95,-14.41,-19.76,-14.08,-52.58,82.96,-6.14,1992-2024
presidential,2012 Obama,D,False,1.81,-2.25,-1.35,4.61,10.26,-7.67,11.76,2.98,1992-2024
presidential,2016 Trump,R,True,-2.34,0.13,4.65,6.91,10.99,-5.6,10.6,-3.08,1992-2024
presidential,2020 Biden,D,True,0.26,0.24,8.53,11.34,21.64,-9.6,21.67,-6.06,1992-2024
presidential,2024 Trump,R,True,7.88,0.55,5.12,4.32,-3.14,-18.9,10.77,0.86,1992-2024
midterm,1930 midterm,R,True,-19.85,-11.31,-1.21,-2.81,-9.66,-41.51,35.85,-3.56,1928-1948
midterm,1934 midterm,D,False,2.87,2.98,2.9,-3.32,2.47,-22.28,21.14,-0.81,1928-1948
midterm,1938 midterm,D,False,14.57,-0.87,-11.27,-11.27,-20.71,-25.09,43.98,-19.64,1928-1948
midterm,1942 midterm,D,False,10.61,3.34,-1.06,10.83,20.52,-5.27,12.5,-1.3,1928-1948
midterm,1946 midterm,D,True,-20.9,0.96,0.2,7.61,0.14,-26.81,27.36,-5.9,1928-1948
midterm,1950 midterm,D,False,6.77,-2.22,-0.82,12.66,15.37,-14.02,15.34,5.47,1952-1990
midterm,1954 midterm,R,True,7.42,-0.58,5.22,10.94,16.63,-6.82,8.05,3.27,1952-1990
midterm,1958 midterm,R,False,7.73,1.86,0.99,6.06,10.15,-4.39,10.36,2.87,1952-1990
midterm,1962 midterm,D,False,1.86,2.61,6.94,11.96,17.55,-18.16,20.38,-9.76,1952-1990
midterm,1966 midterm,D,False,-1.66,8.28,0.82,6.88,14.32,-16.45,13.41,-2.81,1952-1990
midterm,1970 midterm,R,False,10.01,-3.08,4.93,12.97,21.66,-9.97,10.86,-0.31,1952-1990
midterm,1974 midterm,R,False,-5.99,14.7,-10.82,2.46,13.12,-33.1,32.62,-10.0,1952-1990
midterm,1978 midterm,D,False,-10.24,-10.71,3.81,5.85,8.01,-13.55,21.18,-6.4,1952-1990
midterm,1982 midterm,R,False,28.8,11.97,0.89,4.81,14.42,-13.36,26.53,-0.92,1952-1990
midterm,1986 midterm,R,True,2.27,4.91,3.06,10.73,13.76,-9.42,10.16,5.82,1952-1990
midterm,1990 midterm,R,False,-8.37,2.11,5.71,9.61,18.6,-19.92,22.15,-5.89,1952-1990
midterm,1994 midterm,D,True,0.95,-0.03,-3.15,2.75,10.05,-6.43,11.71,-1.73,1992-2024
midterm,1998 midterm,D,False,2.53,12.06,5.3,13.63,19.57,-19.34,21.1,-6.12,1992-2024
midterm,2002 midterm,R,True,1.27,13.66,0.24,-6.2,0.17,-29.81,32.2,-8.94,1992-2024
midterm,2006 midterm,R,True,8.65,2.15,2.15,4.6,8.29,-5.86,7.44,0.35,1992-2024
midterm,2010 midterm,D,True,5.67,2.79,1.04,6.7,12.11,-11.65,11.25,5.3,1992-2024
midterm,2014 midterm,D,True,3.81,3.9,3.05,0.43,4.6,-7.4,18.14,-12.94,1992-2024
midterm,2018 midterm,R,True,-2.38,-4.43,-2.18,-0.65,5.72,-19.78,24.02,-2.02,1992-2024
midterm,2022 midterm,D,True,-11.56,6.45,2.73,7.13,6.64,-16.91,24.85,1.76,1992-2024
