ticker,layer,fy_end,capex_bn,capex_prior_bn,yoy_pct,revenue_bn,ocf_bn,intensity_pct,self_funding_pct,fcf_bn
AMZN,Hyperscaler,2025-12-31,131.82,83.0,58.8,716.92,139.51,18.4,94.5,7.7
GOOGL,Hyperscaler,2025-12-31,91.45,52.53,74.1,402.84,164.71,22.7,55.5,73.27
META,Hyperscaler,2025-12-31,69.69,37.26,87.1,200.97,115.8,34.7,60.2,46.11
MSFT,Hyperscaler,2025-06-30,64.55,44.48,45.1,281.72,136.16,22.9,47.4,71.61
ORCL,Hyperscaler,2026-05-31,55.66,21.21,162.4,67.36,31.98,82.6,174.1,-23.69
MU,Foundry / memory,2025-08-28,15.86,8.39,89.1,37.38,17.52,42.4,90.5,1.67
INTC,Foundry / memory,2025-12-27,14.65,23.94,-38.8,52.85,9.7,27.7,151.0,-4.95
DUK,Power / cooling,2025-12-31,14.02,12.28,14.2,31.74,12.33,44.2,113.7,-1.69
SO,Power / cooling,2025-12-31,12.74,8.96,42.2,29.55,9.8,43.1,129.9,-2.94
CRWV,Neocloud,2025-12-31,10.31,8.7,18.5,5.13,3.06,200.9,337.1,-7.25
NVDA,Compute silicon,2026-01-25,6.04,3.24,86.7,215.94,102.72,2.8,5.9,96.68
EQIX,Data-center REIT,2025-12-31,4.31,3.07,40.6,9.22,3.91,46.8,110.2,-0.4
DLR,Data-center REIT,2025-12-31,3.18,2.83,12.3,6.11,2.41,52.0,131.9,-0.77
CEG,Power / cooling,2025-12-31,2.95,2.56,15.0,22.66,4.24,13.0,69.6,1.29
DELL,Servers / ODM,2026-01-30,2.63,2.65,-0.7,113.54,11.19,2.3,23.5,8.55
HPE,Servers / ODM,2025-10-31,2.29,2.37,-3.2,34.3,2.92,6.7,78.5,0.63
AMAT,Semicap equipment,2025-10-26,2.26,1.19,89.9,28.37,7.96,8.0,28.4,5.7
GEV,Power / cooling,2025-12-31,1.28,0.88,44.6,38.07,4.99,3.4,25.6,3.71
QCOM,Compute silicon,2025-09-28,1.19,1.04,14.5,44.28,14.01,2.7,8.5,12.82
IBM,Software / apps,2025-12-31,1.09,1.05,4.1,67.53,13.19,1.6,8.3,12.1
WULF,Neocloud,2025-12-31,1.06,0.27,295.7,0.17,-0.12,629.4,,-1.18
AMD,Compute silicon,2025-12-27,0.97,0.64,53.1,34.64,7.71,2.8,12.6,6.74
ETN,Power / cooling,2025-12-31,0.92,0.81,13.7,27.45,4.47,3.3,20.6,3.55
CSCO,Networking / optical,2025-07-26,0.91,0.67,35.1,56.65,14.19,1.6,6.4,13.29
NOW,Software / apps,2025-12-31,0.87,0.85,1.9,13.28,5.44,6.5,15.9,4.58
LRCX,Semicap equipment,2025-06-29,0.76,0.4,91.4,18.44,6.17,4.1,12.3,5.41
CORZ,Neocloud,2025-12-31,0.73,0.09,667.7,0.32,0.28,228.5,262.0,-0.45
APLD,Neocloud,2025-05-31,0.68,0.14,380.6,0.14,-0.12,472.7,,-0.8
AVGO,Compute silicon,2025-11-02,0.62,0.55,13.7,63.89,27.54,1.0,2.3,26.91
PWR,Power / cooling,2025-12-31,0.61,0.6,0.8,28.48,2.23,2.1,27.3,1.62
CRM,Software / apps,2026-01-31,0.59,0.66,-9.7,41.52,15.0,1.4,4.0,14.4
IREN,Neocloud,2025-06-30,0.57,0.14,304.3,0.5,0.25,114.5,233.2,-0.33
CIFR,Neocloud,2025-12-31,0.49,0.14,249.8,0.22,-0.21,217.9,,-0.7
COHR,Networking / optical,2025-06-30,0.44,0.35,27.1,5.81,0.63,7.6,69.6,0.19
MRVL,Compute silicon,2026-01-31,0.35,0.28,24.4,8.19,1.75,4.3,20.2,1.4
KLAC,Semicap equipment,2025-06-30,0.34,0.28,20.9,12.16,4.08,2.8,8.2,3.75
LITE,Networking / optical,2025-06-28,0.23,0.13,73.7,1.65,0.13,14.0,182.9,-0.1
VRT,Power / cooling,2025-12-31,0.22,0.17,31.7,10.23,2.11,2.2,10.4,1.89
SMCI,Servers / ODM,2025-06-30,0.13,0.12,2.4,21.97,1.66,0.6,7.7,1.53
ANET,Networking / optical,2025-12-31,0.12,0.03,273.4,9.01,4.37,1.3,2.7,4.25
SNOW,Software / apps,2026-01-31,0.1,0.05,119.6,4.68,1.22,2.2,8.3,1.12
CRDO,Networking / optical,2026-05-02,0.06,0.04,58.9,1.34,0.46,4.3,12.3,0.41
BE,Power / cooling,2025-12-31,0.06,0.06,-3.6,2.0,0.11,2.8,49.8,0.06
ONTO,Semicap equipment,2026-01-03,0.03,0.03,-10.6,1.01,0.33,2.8,8.7,0.3
PLTR,Software / apps,2025-12-31,0.03,0.01,168.2,4.48,2.13,0.8,1.6,2.1
