ticker,year,cash_reserves_usd_bn
AMZN,2006,1.0
AMZN,2007,2.5
AMZN,2008,3.7
AMZN,2009,6.4
AMZN,2010,8.8
AMZN,2011,9.6
AMZN,2012,11.4
AMZN,2013,12.4
AMZN,2014,17.4
AMZN,2015,19.8
AMZN,2016,26.0
AMZN,2017,31.0
AMZN,2018,41.2
AMZN,2019,55.0
AMZN,2020,84.4
AMZN,2021,96.0
AMZN,2022,70.0
AMZN,2023,86.8
AMZN,2024,101.2
AMZN,2025,123.0
GOOGL,2012,14.8
GOOGL,2013,18.9
GOOGL,2014,18.3
GOOGL,2015,16.5
GOOGL,2016,12.9
GOOGL,2017,101.9
GOOGL,2018,109.1
GOOGL,2019,119.7
GOOGL,2020,136.7
GOOGL,2021,139.6
GOOGL,2022,113.8
GOOGL,2023,110.9
GOOGL,2024,95.7
GOOGL,2025,126.8
META,2009,0.6
META,2010,1.8
META,2011,3.9
META,2012,9.6
META,2013,11.4
META,2014,11.2
META,2015,18.4
META,2016,29.4
META,2017,41.7
META,2018,10.0
META,2019,19.1
META,2020,17.6
META,2021,48.0
META,2022,40.7
META,2023,65.4
META,2024,77.8
META,2025,81.6
MSFT,2007,6.1
MSFT,2008,10.3
MSFT,2009,6.1
MSFT,2010,5.5
MSFT,2011,9.6
MSFT,2012,6.9
MSFT,2013,3.8
MSFT,2014,8.7
MSFT,2015,5.6
MSFT,2016,6.5
MSFT,2017,7.7
MSFT,2018,133.8
MSFT,2019,133.8
MSFT,2020,136.5
MSFT,2021,130.3
MSFT,2022,104.8
MSFT,2023,111.3
MSFT,2024,75.5
MSFT,2025,94.6
ORCL,2007,6.2
ORCL,2008,8.3
ORCL,2009,9.0
ORCL,2010,9.9
ORCL,2011,16.2
ORCL,2012,15.0
ORCL,2013,14.6
ORCL,2014,17.8
ORCL,2015,21.7
ORCL,2016,20.2
ORCL,2017,21.8
ORCL,2018,67.3
ORCL,2019,37.8
ORCL,2020,43.1
ORCL,2021,46.6
ORCL,2022,21.9
ORCL,2023,10.2
ORCL,2024,10.7
ORCL,2025,11.2
ORCL,2026,31.9
BABA,2014,5.3
BABA,2015,17.4
BABA,2016,16.2
BABA,2017,23.5
BABA,2018,32.5
BABA,2019,28.3
BABA,2020,46.7
BABA,2021,49.0
BABA,2022,30.0
BABA,2023,28.1
BABA,2024,34.4
BABA,2025,20.0
BABA,2026,19.1
BIDU,2008,0.3
BIDU,2009,0.7
BIDU,2010,1.3
BIDU,2011,2.3
BIDU,2012,5.3
BIDU,2013,6.3
BIDU,2014,9.2
BIDU,2015,10.4
BIDU,2016,13.0
BIDU,2017,15.4
BIDU,2018,20.3
BIDU,2019,21.0
BIDU,2020,24.9
BIDU,2021,28.3
BIDU,2022,25.2
BIDU,2023,27.3
BIDU,2024,17.5
BIDU,2025,16.5
