title,date,source,url
台灣 IC 設計失守全球亞軍：AI 營收太低、資金轉向 AI 股的關鍵警訊,2025-12-01,technews,https://technews.tw/2025/12/22/taiwan-high-speed-ic-makers-target-data-center-growt/
劉揚偉一件外套帶火「企業小物」，鴻海聯手在地品牌，把台灣代工一起帶上台,2026-02-01,technews,https://technews.tw/2026/02/22/hon-hai-branded-products/
輝達斥資 400 億元建海外總部，台北市長蔣萬安宣布完成簽約預計年中動工,2026-02-01,technews,https://technews.tw/2026/02/11/nvidia-invests-40-billion-yuan-to-build-overseas-headquarters-agreement-signed/
【COMPUTEX 2026】全面打造專屬 AI 工廠！直擊「電力=算力=國力」新挑戰,2026-03-01,technews,https://technews.tw/2026/03/26/computex-2026-ai-factory/
長鑫擴產、DDR4 報價收斂！大摩降評南亞科、華邦電，改按讚旺宏,2026-03-01,technews,https://technews.tw/2026/03/20/ms-2026-see-memory/
輝達 COMPUTEX 將展出 PC 處理器，挑戰英特爾與 AMD 市場,2026-03-01,technews,https://technews.tw/2026/03/30/nvidia-is-expected-to-showcase-pc-processors-at-computex-2026/
英特爾莊蓓瑜：AI PC 滲透不受記憶體干擾，陳立武將宣布 Intel 18A 代工策略,2026-03-01,technews,https://technews.tw/2026/03/25/intel-ai-pc-penetration-is-unaffected-by-memory-issues/
電子紙低耗能可支撐 AI 終端顯示，元太：我們理應是受益者,2026-03-01,technews,https://technews.tw/2026/03/12/e-ink-holdings-2025-q4-earnings/
【COMPUTEX 2026】AI 帶動全球創投與新創熱！能源與 AI 成為台灣創新雙火車頭,2026-04-01,technews,https://technews.tw/2026/04/23/computex-2026ai-newcreationenergy/
輝達 GTC 大會重返台北，黃仁勳 6/1 主題演講揭開序幕,2026-04-01,technews,https://technews.tw/2026/04/16/nvidia-gtc-taipei-june/
AI 接管 COMPUTEX 舞台，輝達參展規模變遷見證產業質變,2026-04-01,technews,https://technews.tw/2026/04/03/computex-ai-nvidia/
邊緣AI軟硬整合加速　研華啟動新5年計畫瞄準工業應用,2026-05-14,digitimes,https://www.digitimes.com.tw/tech/dt/n/shwnws.asp?id=0000755388_CC34YUU07HQU0I9UCGT7E
聚焦AI邊緣部署應用 輔信科技COMPUTEX 2026展示多款Intel Core Ultra平台,2026-05-19,digitimes,https://www.digitimes.com.tw/tech/dt/n/shwnws.asp?id=0000755647_LSD7KW443EBC9Z8YILMF6
QSAN將於COMPUTEX 2026發表全新基礎架構體系,2026-05-22,digitimes,https://www.digitimes.com.tw/tech/dt/n/shwnws.asp?id=0000755857_RXW71Y6V6B2GHE6D9AGUU
6455399,,cnyes,https://news.cnyes.com/news/id/6455399
6460787,,cnyes,https://news.cnyes.com/news/id/6460787
6463605,,cnyes,https://news.cnyes.com/news/id/6463605
6458740,,cnyes,https://news.cnyes.com/news/id/6458740
6461813,,cnyes,https://news.cnyes.com/news/id/6461813
6462428,,cnyes,https://news.cnyes.com/news/id/6462428
6463645,,cnyes,https://news.cnyes.com/news/id/6463645
6463701,,cnyes,https://news.cnyes.com/news/id/6463701
6460311,,cnyes,https://news.cnyes.com/news/id/6460311
6458747,,cnyes,https://news.cnyes.com/news/id/6458747
6463612,,cnyes,https://news.cnyes.com/news/id/6463612
6458575,,cnyes,https://news.cnyes.com/news/id/6458575
6455308,,cnyes,https://news.cnyes.com/news/id/6455308
www-ctee-com-tw-news-20260517700021-430201,,ctee,https://www.ctee.com.tw/news/20260517700021-430201
www-ctee-com-tw-news-20260519700399-430201,,ctee,https://www.ctee.com.tw/news/20260519700399-430201
www-ctee-com-tw-news-20260517700607-430201,,ctee,https://www.ctee.com.tw/news/20260517700607-430201
www-ctee-com-tw-news-20260515700236-430502,,ctee,https://www.ctee.com.tw/news/20260515700236-430502
www-ctee-com-tw-news-20260519700062-430501,,ctee,https://www.ctee.com.tw/news/20260519700062-430501
www-ctee-com-tw-news-20260515701338-430201,,ctee,https://www.ctee.com.tw/news/20260515701338-430201
www-ctee-com-tw-news-20260519700055-430501,,ctee,https://www.ctee.com.tw/news/20260519700055-430501
www-ctee-com-tw-news-20260518701689-430201,,ctee,https://www.ctee.com.tw/news/20260518701689-430201
6463509,,cnyes,https://news.cnyes.com/news/id/6463509
6462407,,cnyes,https://news.cnyes.com/news/id/6462407
6462426,,cnyes,https://news.cnyes.com/news/id/6462426
